Month,Project name,Project ID,Project number,Project hierarchy,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2024-02,Project 011,project-011,000000000011,Hierarchy 017,194.70,0.00,0.00,-0.64,194.060000,194.06
2024-02,Project 009,project-009,000000000009,Hierarchy 022,233.38,0.00,-8.65,-33.40,191.330000,191.33
2024-02,Project 012,project-012,000000000012,Hierarchy 023,47.73,0.00,0.00,0.00,47.730000,47.73
2024-02,Project 027,,,,36.84,0.00,0.00,0.00,36.840000,36.84
2024-02,Project 014,project-014,000000000014,Hierarchy 021,28.82,0.00,0.00,-5.89,22.930000,22.93
2024-02,Project 013,project-013,000000000013,Hierarchy 024,6.58,0.00,0.00,0.00,6.580000,6.58
2024-02,Project 015,project-015,000000000015,Hierarchy 025,4.86,0.00,0.00,0.00,4.860000,4.86
2024-02,Project 016,project-016,000000000016,Hierarchy 026,0.25,0.00,0.00,0.00,0.250000,0.25
2024-02,Project 018,project-018,000000000018,Hierarchy 025,0.10,0.00,0.00,0.00,0.100000,0.10
2024-02,Project 020,project-020,000000000020,Hierarchy 029,0.02,0.00,0.00,0.00,0.020000,0.02
2024-02,Project 017,project-017,000000000017,Hierarchy 027,0.02,0.00,0.00,0.00,0.020000,0.02
2024-02,Project 021,project-021,000000000021,Hierarchy 030,0.01,0.00,0.00,0.00,0.010000,0.01
2024-02,Project 022,project-022,000000000022,Hierarchy 031,0.01,0.00,0.00,0.00,0.010000,0.01
2024-02,Project 019,project-019,000000000019,Hierarchy 028,0.00,0.00,0.00,0.00,0.000000,0.00
2024-02,Project 023,project-023,000000000023,Hierarchy 029,0.00,0.00,0.00,0.00,0.000000,0.00
2024-02,Project 028,project-028,000000000028,Hierarchy 022,7.34,0.00,0.00,-6.19,1.150000,1.15
,,,,,,,Subtotal,1296500.58,1296500.58,
,,,,,,,Adjustments,-2.90,-3.17,
,,,,,,,Tax,263875.97,259322.08,
,,,,,,,Invoice total,1560373.65,1555819.49,
